Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A081QQH7	A0A081QQH7_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A081QRM2	A0A081QRM2_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A081R220	A0A081R220_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A084AD27	A0A084AD27_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A084AD33	A0A084AD33_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A084H1A2	A0A084H1A2_METID	Uncharacterized protein	Firmicutes	Bacillales	Metabacillus indicus (Bacillus indicus)	Bacillaceae
A0A086ZG68	A0A086ZG68_9BIFI	Lipoprotein	Actinobacteria	Bifidobacteriales	Bifidobacterium bohemicum	Bifidobacteriaceae
A0A090YUG9	A0A090YUG9_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus clarus	Bacillaceae
A0A090Z215	A0A090Z215_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus clarus	Bacillaceae
A0A091BL67	A0A091BL67_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A091BSH7	A0A091BSH7_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A091BV50	A0A091BV50_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A096DK00	A0A096DK00_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Caloranaerobacter azorensis	Thermohalobacteraceae
A0A099I6V4	A0A099I6V4_CLOIN	DUF4176 domain-containing protein	Firmicutes	Erysipelotrichales	Clostridium innocuum	Erysipelotrichaceae
A0A099W7Z0	A0A099W7Z0_9LIST	DUF4176 domain-containing protein (Transposase)	Firmicutes	Bacillales	Listeria booriae	Listeriaceae
A0A0A0WIQ4	A0A0A0WIQ4_BACMY	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A0A0WNM1	A0A0A0WNM1_BACMY	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A0A2U033	A0A0A2U033_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. MAEPY2	Paenibacillaceae
A0A0B0I3X5	A0A0B0I3X5_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. P1XP2	Paenibacillaceae
A0A0B4W6D1	A0A0B4W6D1_CLOBO	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium botulinum	Clostridiaceae
A0A0B5NQE6	A0A0B5NQE6_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0B5NUZ4	A0A0B5NUZ4_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0B5RUF9	A0A0B5RUF9_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A0B7GL32	A0A0B7GL32_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A0B7GSG9	A0A0B7GSG9_STRSA	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sanguinis	Streptococcaceae
A0A0D0QSX1	A0A0D0QSX1_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus sp. L_1B0_5	Bacillaceae
A0A0D0YHF2	A0A0D0YHF2_STRSZ	Contig000011, whole genome shotgun sequence	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A0D0YNT0	A0A0D0YNT0_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A0D0ZGT3	A0A0D0ZGT3_STRSZ	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A0D1PN94	A0A0D1PN94_BACTU	Putative cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0D1XP82	A0A0D1XP82_ANEMI	Uncharacterized protein	Firmicutes	Bacillales	Aneurinibacillus migulanus (Bacillus migulanus)	Paenibacillaceae
A0A0D3V9Q0	A0A0D3V9Q0_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. IHBB 10380	Paenibacillaceae
A0A0D6DUX4	A0A0D6DUX4_9LACT	EsaC-like protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A0D6DV89	A0A0D6DV89_9LACT	DUF4176-containing protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A0D6DYJ3	A0A0D6DYJ3_9LACT	EsaC-like protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A0D6GRX1	A0A0D6GRX1_STAAU	DUF4176 domain-containing protein (EsaC protein analog (Listeria type 3)) (Type II secretion protein)	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0D6XTG2	A0A0D6XTG2_9STAP	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus microti	Staphylococcaceae
A0A0E0UUA4	A0A0E0UUA4_LISMM	Uncharacterized protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A0E0VT86	A0A0E0VT86_STAA5	Putative cytosolic protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0E1ELV7	A0A0E1ELV7_STRAG	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A0E1ELW1	A0A0E1ELW1_STRAG	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A0E1VAQ1	A0A0E1VAQ1_STAEP	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus epidermidis	Staphylococcaceae
A0A0E1VDY9	A0A0E1VDY9_STAEP	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus epidermidis	Staphylococcaceae
A0A0E1VPK7	A0A0E1VPK7_STAA3	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0E1XCP1	A0A0E1XCP1_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0E1Y5Z0	A0A0E1Y5Z0_LISMN	Uncharacterized protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A0E1YFT9	A0A0E1YFT9_LISMN	Uncharacterized protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A0E2J7B9	A0A0E2J7B9_STRIS	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus intermedius	Streptococcaceae
A0A0F2CBS4	A0A0F2CBS4_STRGN	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A0F2CLN1	A0A0F2CLN1_STRGN	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A0F4KS35	A0A0F4KS35_9BIFI	Uncharacterized protein	Actinobacteria	Bifidobacteriales	Bifidobacterium asteroides	Bifidobacteriaceae
A0A0F4KVI4	A0A0F4KVI4_9BIFI	Uncharacterized protein	Actinobacteria	Bifidobacteriales	Bifidobacterium asteroides	Bifidobacteriaceae
A0A0F4LSK0	A0A0F4LSK0_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Bombilactobacillus mellifer	Lactobacillaceae
A0A0F5MJY8	A0A0F5MJY8_STRGN	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A0F5MKI3	A0A0F5MKI3_STRGN	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A0F6FUL5	A0A0F6FUL5_BACTK	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0G2Z5V1	A0A0G2Z5V1_STRAG	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A0G2Z9M3	A0A0G2Z9M3_STRAG	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus agalactiae	Streptococcaceae
A0A0G3DVJ6	A0A0G3DVJ6_BACTU	Cytoplasmic protein (DUF4176 domain-containing protein)	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0G6NBW2	A0A0G6NBW2_9STRE	DUF4176 domain-containing protein (EsaC protein analog (Listeria type 3))	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A0G6WYJ5	A0A0G6WYJ5_9STRE	DUF4176 domain-containing protein (EsaC protein analog (Listeria type 3))	Firmicutes	Lactobacillales	Streptococcus equi	Streptococcaceae
A0A0G9LF57	A0A0G9LF57_9CLOT	Cytoplasmic protein	Firmicutes	Eubacteriales	Clostridium sp. C8	Clostridiaceae
A0A0H2VFR8	A0A0H2VFR8_STAES	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus epidermidis	Staphylococcaceae
A0A0H2WZH1	A0A0H2WZH1_STAAC	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0H2XHA6	A0A0H2XHA6_STAA3	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0H3G8X1	A0A0H3G8X1_LISM4	Uncharacterized protein	Firmicutes	Bacillales	Listeria monocytogenes	Listeriaceae
A0A0H3JRZ7	A0A0H3JRZ7_STAAN	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0H3JXK2	A0A0H3JXK2_STAAM	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0H3JZ95	A0A0H3JZ95_STAAW	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0H3KJ09	A0A0H3KJ09_STAAE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0J1LCN0	A0A0J1LCN0_NIACI	Uncharacterized protein	Firmicutes	Bacillales	Niallia circulans (Bacillus circulans)	Bacillaceae
A0A0J5GRF0	A0A0J5GRF0_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. LL01	Bacillaceae
A0A0J6D4E8	A0A0J6D4E8_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Alkalihalobacillus macyae	Bacillaceae
A0A0J6L9E3	A0A0J6L9E3_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. LK2	Bacillaceae
A0A0J7GVF9	A0A0J7GVF9_BACCE	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A0J8G915	A0A0J8G915_9LIST	Uncharacterized protein	Firmicutes	Bacillales	Listeria fleischmannii	Listeriaceae
A0A0J8J799	A0A0J8J799_9LIST	Uncharacterized protein	Firmicutes	Bacillales	Listeria fleischmannii	Listeriaceae
A0A0K6GRG8	A0A0K6GRG8_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Anoxybacillus suryakundensis	Bacillaceae
A0A0K6GRS1	A0A0K6GRS1_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Anoxybacillus suryakundensis	Bacillaceae
A0A0L0QLJ6	A0A0L0QLJ6_VIRPA	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus pantothenticus	Bacillaceae
A0A0L0QMX1	A0A0L0QMX1_VIRPA	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus pantothenticus	Bacillaceae
A0A0L1MAG8	A0A0L1MAG8_PRIMG	Uncharacterized protein	Firmicutes	Bacillales	Priestia megaterium (Bacillus megaterium)	Bacillaceae
A0A0L1MAP5	A0A0L1MAP5_PRIMG	Uncharacterized protein	Firmicutes	Bacillales	Priestia megaterium (Bacillus megaterium)	Bacillaceae
A0A0L6JK56	A0A0L6JK56_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudobacteroides cellulosolvens	Oscillospiraceae
A0A0L6JL88	A0A0L6JL88_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudobacteroides cellulosolvens	Oscillospiraceae
A0A0L6JNU1	A0A0L6JNU1_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudobacteroides cellulosolvens	Oscillospiraceae
A0A0M0GDK1	A0A0M0GDK1_SPOGL	Cytoplasmic protein	Firmicutes	Bacillales	Sporosarcina globispora (Bacillus globisporus)	Planococcaceae
A0A0M0KWN4	A0A0M0KWN4_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Priestia koreensis	Bacillaceae
A0A0M1P247	A0A0M1P247_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus solani	Paenibacillaceae
A0A0M1P8K3	A0A0M1P8K3_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus solani	Paenibacillaceae
A0A0M2VQY9	A0A0M2VQY9_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. DMB20	Paenibacillaceae
A0A0M2VUR5	A0A0M2VUR5_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. DMB20	Paenibacillaceae
A0A0M2ZRE2	A0A0M2ZRE2_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A0M2ZRF0	A0A0M2ZRF0_LACLC	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A0M2ZVA7	A0A0M2ZVA7_LACLC	Radical SAM protein, BA 1875 family	Firmicutes	Lactobacillales	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Streptococcaceae
A0A0M4GB48	A0A0M4GB48_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. FJAT-18017	Bacillaceae
A0A0M6WSU2	A0A0M6WSU2_9FIRM	DUF4176 domain-containing protein	Firmicutes	Eubacteriales	Roseburia inulinivorans	Lachnospiraceae
A0A0M9BQQ6	A0A0M9BQQ6_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus xylanivorans	Paenibacillaceae
A0A0P0PML0	A0A0P0PML0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A0P6VWI4	A0A0P6VWI4_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Rossellomorea vietnamensis	Bacillaceae
A0A0Q4QQN4	A0A0Q4QQN4_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus sp. Leaf72	Paenibacillaceae
A0A0Q5LU38	A0A0Q5LU38_9MICO	Uncharacterized protein	Actinobacteria	Micrococcales	Leifsonia sp. Leaf336	Microbacteriaceae
A0A0Q5LU58	A0A0Q5LU58_9MICO	Uncharacterized protein	Actinobacteria	Micrococcales	Leifsonia sp. Leaf336	Microbacteriaceae
A0A0Q5MAL3	A0A0Q5MAL3_9MICO	Uncharacterized protein	Actinobacteria	Micrococcales	Leifsonia sp. Leaf336	Microbacteriaceae
A0A0Q8UQJ7	A0A0Q8UQJ7_9MICO	Uncharacterized protein	Actinobacteria	Micrococcales	Leifsonia sp. Root227	Microbacteriaceae
A0A0R1EVI0	A0A0R1EVI0_LACZE	Uncharacterized protein	Firmicutes	Lactobacillales	Lacticaseibacillus zeae (Lactobacillus zeae)	Lactobacillaceae
A0A0R1MUP3	A0A0R1MUP3_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Schleiferilactobacillus perolens	Lactobacillaceae
A0A0R1RCK4	A0A0R1RCK4_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Furfurilactobacillus rossiae	Lactobacillaceae
A0A0R1RSI7	A0A0R1RSI7_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Latilactobacillus fuchuensis	Lactobacillaceae
A0A0R1UFJ5	A0A0R1UFJ5_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Limosilactobacillus equigenerosi	Lactobacillaceae
A0A0R1UGL4	A0A0R1UGL4_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Limosilactobacillus equigenerosi	Lactobacillaceae
A0A0R1UQS5	A0A0R1UQS5_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Limosilactobacillus equigenerosi	Lactobacillaceae
A0A0R2B0W1	A0A0R2B0W1_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus murinus	Lactobacillaceae
A0A0R2FR50	A0A0R2FR50_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Liquorilactobacillus mali	Lactobacillaceae
A0A0R2I4H8	A0A0R2I4H8_CARDV	Uncharacterized protein	Firmicutes	Lactobacillales	Carnobacterium divergens (Lactobacillus divergens)	Carnobacteriaceae
A0A0R2LCA1	A0A0R2LCA1_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus pobuzihii	Lactobacillaceae
A0A0R2LCG6	A0A0R2LCG6_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus pobuzihii	Lactobacillaceae
A0A0R2LI95	A0A0R2LI95_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus pobuzihii	Lactobacillaceae
A0A0R2LIY9	A0A0R2LIY9_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus pobuzihii	Lactobacillaceae
A0A0R2LJ05	A0A0R2LJ05_9LACO	Uncharacterized protein	Firmicutes	Lactobacillales	Ligilactobacillus pobuzihii	Lactobacillaceae
A0A0S3K6Y1	A0A0S3K6Y1_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus silesiacus	Enterococcaceae
A0A0T6BWC7	A0A0T6BWC7_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus glycinifermentans	Bacillaceae
A0A0U1MVN2	A0A0U1MVN2_STAAU	Uncharacterized protein	Firmicutes	Bacillales	Staphylococcus aureus	Staphylococcaceae
A0A0U2X920	A0A0U2X920_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus rotai	Enterococcaceae
A0A0U2X9S2	A0A0U2X9S2_9ENTE	Type II secretion protein	Firmicutes	Lactobacillales	Enterococcus rotai	Enterococcaceae
A0A0V8J4U5	A0A0V8J4U5_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Fictibacillus enclensis	Bacillaceae
A0A0V8JJR9	A0A0V8JJR9_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Priestia veravalensis	Bacillaceae
A0A0V8JM87	A0A0V8JM87_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Priestia veravalensis	Bacillaceae
A0A0Z8D879	A0A0Z8D879_STRSU	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A0Z8G774	A0A0Z8G774_STRSU	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A0Z8H0M3	A0A0Z8H0M3_STRSU	Uncharacterized protein conserved in bacteria	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A0Z8I6T1	A0A0Z8I6T1_STRSU	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A0Z8NGX3	A0A0Z8NGX3_STRSU	Uncharacterized protein conserved in bacteria	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A100VQA6	A0A100VQA6_PAEAM	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus amylolyticus	Paenibacillaceae
A0A109GEM7	A0A109GEM7_BACMY	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A116NXQ9	A0A116NXQ9_STRSU	Uncharacterized protein conserved in bacteria	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A116RUM0	A0A116RUM0_STRSU	Uncharacterized protein conserved in bacteria	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A120EEM3	A0A120EEM3_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A123TF27	A0A123TF27_STRSU	DUF4176 domain-containing protein (Uncharacterized protein conserved in bacteria)	Firmicutes	Lactobacillales	Streptococcus suis	Streptococcaceae
A0A124EGS7	A0A124EGS7_9ACTN	Uncharacterized protein	Actinobacteria	Coriobacteriales	Tractidigestivibacter scatoligenes	Atopobiaceae
A0A125W228	A0A125W228_ENTFL	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus faecalis (Streptococcus faecalis)	Enterococcaceae
A0A133Q5L4	A0A133Q5L4_STALU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Staphylococcus lugdunensis	Staphylococcaceae
A0A136D058	A0A136D058_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A139M6E5	A0A139M6E5_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139M6K8	A0A139M6K8_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139M6V5	A0A139M6V5_STROR	DUF4176 domain-containing protein (Putative EsaC protein like protein)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139M6X8	A0A139M6X8_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139MHK8	A0A139MHK8_9LACT	Putative EsaC-like protein	Firmicutes	Lactobacillales	Lactococcus sp. DD01	Streptococcaceae
A0A139MHS7	A0A139MHS7_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus sp. DD01	Streptococcaceae
A0A139N3B7	A0A139N3B7_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A139N5W1	A0A139N5W1_STRCR	Putative EsaC-like protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A139N5W2	A0A139N5W2_STRCR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus cristatus	Streptococcaceae
A0A139NC52	A0A139NC52_STRGN	Putative EsaC-like protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A139NN21	A0A139NN21_9STRE	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus sp. DD11	Streptococcaceae
A0A139NR48	A0A139NR48_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139NRZ1	A0A139NRZ1_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139NTR1	A0A139NTR1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139NU95	A0A139NU95_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139NZT8	A0A139NZT8_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139P9W9	A0A139P9W9_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139PAW0	A0A139PAW0_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. DD11	Streptococcaceae
A0A139PKX9	A0A139PKX9_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139PUG6	A0A139PUG6_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139PUH9	A0A139PUH9_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139PVF9	A0A139PVF9_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139PVV0	A0A139PVV0_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139Q3N3	A0A139Q3N3_STROR	Putative EsaC-like protein (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A139Q3P1	A0A139Q3P1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
